T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
22.7,30.4,12.8,1017.7,56,2.6,2.4,7.6,79.83333333333333
22.7,30.6,13,1018.4,58,2.4,3.3,7.6,62.708333333333336
25,31,15,1015.7,59,1.9,1.7,5.4,1.9166666666666667
24.9,32.4,15.2,1015,57,1.9,1.7,9.4,1.8333333333333333
26.8,33.4,15.7,1014.5,52,2.4,4.6,9.4,1.7916666666666667
23.7,29.1,15.8,1011.9,67,2.1,5.2,11.1,117.58333333333333
23.4,29.1,17,1011.4,63,2.1,6.7,16.5,122.70833333333333
24.3,29,15.6,1011.7,56,1.9,10,18.3,76.54166666666667
24.3,31,16.8,1010.8,66,3.4,6.9,14.8,59.208333333333336
22.4,29.5,17.1,1014.1,68,3.4,6.3,16.5,77.20833333333333
24.1,29.2,14.5,1014.4,59,2.4,8.5,18.3,87.83333333333333
26.8,33,19,1008.8,61,2.3,3.5,11.1,123.70833333333333
27.1,33,19,1009.9,61,2.6,2.8,13,64.79166666666667
26.5,32.8,19.5,1010.5,45,2.9,12.2,25.9,62.875
29.8,36.2,18.2,1012.7,52,2.4,3.3,7.6,52.041666666666664
24.7,36.6,19.7,1012.8,66,2.4,9.4,14.8,128.33333333333334
26.2,32,19.5,1012.5,56,3.1,9.1,14.8,87.58333333333333
29.9,37,19.5,1008.3,39,2.7,4.4,9.4,23.208333333333332
30.4,37.5,21.6,1006.3,41,2.6,12,27.8,15.166666666666666
32.3,39,21.5,1007.3,39,3.4,5.4,13,21.25
33.4,39.1,24.8,1008,47,2.1,2.6,7.6,25.75
29.5,36.9,21.5,1007.2,41,2.3,11.3,16.5,105.33333333333333
29.3,36,18.8,1008.8,37,3.2,4.8,11.1,117.75
30.9,37,19,1008.9,33,2.6,6.9,14.8,20.791666666666668
31.6,38,23.2,1002.6,30,3.1,18.7,35.2,46.916666666666664
33.1,39,24,1003,26,2.6,10.4,24.1,104.625
33.6,40,23,1003.8,27,2.4,9.8,18.3,109.625
34,40.6,26.3,1005.5,29,2.6,13.9,22.2,0.0
33.9,39.6,25.8,1002.7,28,2.7,15.7,29.4,30.875
33.3,39.4,24.8,1000.7,28,3.1,8.3,18.3,75.58333333333333
33.4,40,21.2,1006.3,27,2.6,3.7,14.8,0.0
33.2,40.3,22.2,1005.1,29,2.3,5,14.8,0.0
34,40.7,22.2,1004.6,24,2.4,11.9,22.2,0.0
34.7,41.5,22,1001.7,24,2.3,8.5,16.5,142.5
38,44,23.8,1001.1,20,2.6,9.6,29.4,133.375
35.4,44,28,1003.2,35,2.7,6.5,18.3,102.41666666666667
33.2,38,25,1004.6,41,2.7,4.6,9.4,158.29166666666666
35.1,39.2,25.3,1005.1,40,2.4,7.2,11.1,149.58333333333334
33.8,39.8,27.6,1005.5,44,2.4,9.8,16.5,107.29166666666667
37.1,42,27.5,1000.7,30,2.9,8.3,18.3,106.5
36.5,43,27,1001.8,35,2.6,4.1,22.2,128.125
37.3,42.4,27.4,1002.4,32,2.6,4.8,14.8,108.0
37.3,43.7,28.6,997.4,44,2.6,9.4,22.2,98.41666666666667
37.3,42.8,31.2,996.2,49,2.6,8.3,14.8,94.375
36.2,41.5,30.7,995.3,50,2.9,10.9,18.3,118.5
32.9,39,27.4,996.6,50,2.4,9.4,27.8,110.41666666666667
34.6,39,26,998.4,49,2.4,6.7,16.5,95.83333333333333
37.4,41,30.6,998.8,31,1.9,14.1,27.8,93.5
32.7,37.5,24.7,1002.3,55,2.4,7.4,18.3,38.666666666666664
36,40,26.6,1001.7,46,3.1,9.1,22.2,45.375
37.7,42,30.7,1000.9,37,2.6,11.9,22.2,65.16666666666667
37.6,43,28.7,1001.2,42,2.4,2.8,11.1,67.08333333333333
34.6,40.3,28.7,1001.1,51,2.7,10.2,25.9,77.66666666666667
35.9,41,28.6,998.6,50,2.6,8.5,18.3,70.25
35.7,41.2,30,997.6,48,2.3,9.3,27.8,75.125
36,41,27.6,997.7,46,2.4,12.8,25.9,77.0
32.6,40.7,26,996.9,59,2.6,11.9,29.4,32.958333333333336
34.7,38,30.5,995.4,55,2.4,10.4,18.3,40.833333333333336
35.6,40,30,1000.7,57,3.1,9.4,25.9,90.70833333333333
31.1,40.1,26,999.8,74,2.4,7.6,14.8,97.29166666666667
32.9,38.6,27,999.7,64,2.4,8.9,16.5,79.83333333333333
35.5,39.9,31.2,999.7,60,2.4,9.8,18.3,40.375
34.9,39.6,29.6,999.6,61,2.4,7.8,14.8,49.416666666666664
31.9,41.6,28,998.8,52,2.3,9.4,14.8,31.875
27,39.7,20.5,1000.2,82,1.9,3.9,13,54.958333333333336
30.8,34.9,25.5,999.4,66,1.9,3.1,9.4,77.75
35.9,41.6,29,996.7,54,1.9,8.5,18.3,75.33333333333333
33,42.3,27.2,997.8,56,1.9,13,25.9,32.583333333333336
30.4,34.4,25.3,997,70,1.9,5.6,20.6,28.375
26.5,36.8,22.4,994.9,86,1.8,6.3,11.1,28.541666666666668
31.5,36.8,24,994.7,62,1.8,11.7,22.2,51.041666666666664
32.7,38,27,996.9,56,1.9,14.1,29.4,40.0
31.9,37.8,25,1001.8,61,1.9,4.3,9.4,37.583333333333336
33.8,38.9,27,1001.1,54,1.9,7,13,37.625
33.4,39.8,27.6,999.7,54,1.9,13,25.9,34.375
28.3,33.6,23.3,998.4,87,1.9,1.7,7.6,42.291666666666664
31.2,35.8,24.8,998.6,77,1.9,2.8,11.1,45.666666666666664
29.7,35.8,25.2,998.9,82,1.9,2.6,9.4,40.625
29.9,33.7,23.3,1000.6,78,2.6,4.8,11.1,26.875
31.1,35.6,26.4,998.5,73,1.9,10.9,18.3,30.708333333333332
33.4,37,27,994.1,61,1.9,17.2,29.4,10.208333333333334
30.1,34.7,26,997.7,76,1.9,0.7,5.4,43.041666666666664
29.1,34.7,24.4,999.2,82,1.9,4.8,11.1,19.416666666666668
31.5,35.7,25.7,999.9,74,1.9,8.1,13,8.416666666666666
31.3,36.5,27.3,999.3,73,2.7,8.7,14.8,0.0
30,36.6,27,998.8,76,2.6,16.9,25.9,0.0
29.7,34.7,24.6,1000.2,74,2.7,11.3,18.3,4.833333333333333
28.9,31.6,25,999.7,77,1.9,4.1,14.8,15.375
28.4,32.6,25.4,1002.7,77,1.9,0.9,7.6,19.833333333333332
29.8,33.9,25,1003.5,75,1.9,2.6,7.6,25.791666666666668
31.6,35.5,25.4,1001.9,63,1.9,5.4,11.1,22.708333333333332
29.4,34.4,26.4,999.9,86,1.8,2.2,14.8,31.333333333333332
28.8,34.4,25.3,1001.7,88,1.6,1.7,7.6,47.416666666666664
27.5,30.8,25,1000.2,92,1.3,3,7.6,33.791666666666664
31.9,35.8,28,1001.8,75,1.9,0.4,3.5,39.041666666666664
30.9,35.8,28.6,1001.8,78,1.9,3.3,14.8,41.708333333333336
31.6,35.6,25.8,1002.7,67,2.9,13,22.2,12.25
30.9,35.5,27.7,1001.5,66,1.9,14.6,27.8,14.5
29.5,34.5,27.6,1002,77,1.9,8.5,18.3,23.916666666666668
32,35.6,27,1000.9,64,3.4,10,20.6,27.375
31.9,36.2,28,1001.1,68,2.6,4.8,14.8,29.208333333333332
32.4,36.9,28.1,1001.9,68,2.7,5.4,11.1,36.5
32.2,36.8,28.4,1002,61,2.6,14.6,24.1,27.833333333333332
32.1,36.6,28,1000.8,56,1.9,15.4,25.9,44.125
31.9,36.6,27.5,1001.7,54,1.9,12.8,24.1,62.25
31.4,36.5,27.6,1005.5,56,1.9,11.7,25.9,60.125
31.5,36.9,26.6,1005.7,53,1.9,9.4,22.2,34.666666666666664
31.9,36.9,26.8,1005.8,54,2.7,11.9,35.2,39.208333333333336
31,36.7,26.4,1005.7,54,2.6,10.2,31.7,38.708333333333336
32.2,37.9,27.3,1005.8,61,1.9,1.3,3.5,69.95833333333333
31.8,37.9,26.8,1003.5,59,1.9,2.6,9.4,94.375
32.9,38,27.5,1003.3,62,1.9,0.4,3.5,85.75
30.4,35.9,26,1003.6,78,1.6,2,7.6,51.666666666666664
29.1,34.8,27.2,1003.4,76,1.9,4.6,11.1,39.416666666666664
30.2,36.5,26.2,1002.3,70,1.9,5.7,14.8,23.958333333333332
28.4,33.9,23.5,1003.8,55,2.6,8.5,20.6,43.5
29.4,35.1,23.7,1005.3,60,2.3,6.3,14.8,50.416666666666664
28.6,35.2,25,1007.2,64,2.3,3,9.4,55.708333333333336
28.1,35.3,21.5,1011.8,56,2.6,5.6,13,57.125
28.6,35.6,22.7,1009,72,1.9,6.5,18.3,112.29166666666667
28.5,35.4,23.2,1007.3,70,1.9,4.4,14.8,97.70833333333333
28.6,36,21.8,1004.3,65,1.9,6.1,24.1,80.70833333333333
29.6,35.5,25,1011,69,1.9,3.7,9.4,81.625
28.2,34.9,22.9,1012.7,70,1.9,3.9,9.4,65.375
27.6,34.9,21.5,1013.6,71,1.8,0.4,3.5,84.375
28.2,36.1,21.9,1011.7,70,1.9,3.5,9.4,141.95833333333334
27.7,36.2,22.9,1009.9,69,1.9,3,9.4,153.375
26.6,36.2,21,1012,68,1.6,2,7.6,162.875
26.4,34.4,18.3,1012.8,53,2.1,5.4,14.8,0.0
25.4,34.4,20.3,1015,59,1.9,5.6,16.5,49.333333333333336
24.7,33.3,18.5,1014,61,2.3,3.5,7.6,107.33333333333333
22.3,29.8,15.6,1016,73,1.6,1.1,5.4,273.625
22.9,31.4,16.2,1016.1,73,1.4,0.9,3.5,256.9583333333333
23.4,31.8,17.3,1015.8,75,1.6,0.4,3.5,185.08333333333334
23.9,31.8,18.6,1014.2,73,1.8,0.4,1.9,249.5
21.9,30.2,16.1,1014.8,79,0.5,1.1,7.6,365.75
21.9,29,17.1,1016,75,1.1,1.9,5.4,241.875
22.1,29.8,16.1,1015,77,1.3,0.7,3.5,176.875
22.3,29.3,16.1,1014.9,64,0.8,5.4,18.3,353.0416666666667
22.4,29.8,16.5,1012,65,1.1,3.5,13,257.4166666666667
18.5,27.7,11.5,1017.6,68,1.3,0.9,7.6,207.83333333333334
18.6,27.7,11.4,1016.4,69,1.1,0.4,3.5,268.1666666666667
18.8,28.5,11.5,1015.4,69,0.8,1.3,3.5,278.3333333333333
19.3,28,13,1014.7,61,1.9,5.7,18.3,157.5
20,29.1,11.9,1012.6,64,1.4,0.9,7.6,156.375
18.4,29.1,13.5,1011.4,71,1.3,2.6,7.6,200.5
19.3,28,13.8,1014.7,81,0.6,1.7,7.6,212.125
17.9,26.2,13.5,1016.2,75,0.8,2,11.1,190.5
17.6,24.6,11.2,1016.1,75,0.8,7,18.3,236.41666666666666
17.8,26.2,11,1017.1,79,0.6,2,7.6,286.375
20.2,27,12,1015.8,68,1,1.3,5.4,288.0833333333333
19.2,26.9,11.6,1015.4,78,1,4.8,14.8,302.4583333333333
14.8,21,6.8,1016.4,63,2.4,5.4,13,163.0
14.6,21.3,6,1017.1,59,2.6,8.1,14.8,161.375
15.2,22.2,7,1016.5,60,2.4,7,14.8,157.375
14.4,21.1,6.8,1019.1,65,1.6,5.6,13,245.91666666666666
12.6,21,0,1018.9,68,1.4,2.6,9.4,264.5833333333333
13.7,21,5.6,1018.8,71,1.3,1.5,7.6,253.29166666666666
13.3,19.3,5.5,1021.9,62,1.9,7.8,14.8,181.20833333333334
14.4,21.5,5.5,1021,60,1.8,8.9,18.3,210.875
16.3,22.5,7.6,1020.6,64,1.4,8.1,14.8,255.33333333333334
